year,cbsa,cbsatitle,category,indicator,value
2004,10580,"Albany-Schenectady-Troy, NY",Growth,"Aggregate Wages, indexed to 2000",0.056833342
2005,10580,"Albany-Schenectady-Troy, NY",Growth,"Aggregate Wages, indexed to 2000",0.05102646
2006,10580,"Albany-Schenectady-Troy, NY",Growth,"Aggregate Wages, indexed to 2000",0.073106386
2007,10580,"Albany-Schenectady-Troy, NY",Growth,"Aggregate Wages, indexed to 2000",0.07794258
2008,10580,"Albany-Schenectady-Troy, NY",Growth,"Aggregate Wages, indexed to 2000",0.097924501
2009,10580,"Albany-Schenectady-Troy, NY",Growth,"Aggregate Wages, indexed to 2000",0.099094242
2010,10580,"Albany-Schenectady-Troy, NY",Growth,"Aggregate Wages, indexed to 2000",0.089866564
2011,10580,"Albany-Schenectady-Troy, NY",Growth,"Aggregate Wages, indexed to 2000",0.08857277
2012,10580,"Albany-Schenectady-Troy, NY",Growth,"Aggregate Wages, indexed to 2000",0.101058349
2013,10580,"Albany-Schenectady-Troy, NY",Growth,"Aggregate Wages, indexed to 2000",0.126590043
2014,10580,"Albany-Schenectady-Troy, NY",Growth,"Aggregate Wages, indexed to 2000",0.156715244
2000,10580,"Albany-Schenectady-Troy, NY",Growth,"Employment, indexed to 2000",0
2001,10580,"Albany-Schenectady-Troy, NY",Growth,"Employment, indexed to 2000",0.009236068
2002,10580,"Albany-Schenectady-Troy, NY",Growth,"Employment, indexed to 2000",0.005730133
2003,10580,"Albany-Schenectady-Troy, NY",Growth,"Employment, indexed to 2000",0.003538284
2004,10580,"Albany-Schenectady-Troy, NY",Growth,"Employment, indexed to 2000",0.013641816
2005,10580,"Albany-Schenectady-Troy, NY",Growth,"Employment, indexed to 2000",0.018410873
2006,10580,"Albany-Schenectady-Troy, NY",Growth,"Employment, indexed to 2000",0.021112747
2007,10580,"Albany-Schenectady-Troy, NY",Growth,"Employment, indexed to 2000",0.025728455
2008,10580,"Albany-Schenectady-Troy, NY",Growth,"Employment, indexed to 2000",0.033563841
2009,10580,"Albany-Schenectady-Troy, NY",Growth,"Employment, indexed to 2000",0.011735611
2010,10580,"Albany-Schenectady-Troy, NY",Growth,"Employment, indexed to 2000",5.82886E-05
2011,10580,"Albany-Schenectady-Troy, NY",Growth,"Employment, indexed to 2000",0.001783829
2012,10580,"Albany-Schenectady-Troy, NY",Growth,"Employment, indexed to 2000",0.01751175
2013,10580,"Albany-Schenectady-Troy, NY",Growth,"Employment, indexed to 2000",0.030261306
2014,10580,"Albany-Schenectady-Troy, NY",Growth,"Employment, indexed to 2000",0.041414719
2000,10580,"Albany-Schenectady-Troy, NY",Growth,"Output, indexed to 2000",0
2001,10580,"Albany-Schenectady-Troy, NY",Growth,"Output, indexed to 2000",0.009080887
2002,10580,"Albany-Schenectady-Troy, NY",Growth,"Output, indexed to 2000",0.014642486
2003,10580,"Albany-Schenectady-Troy, NY",Growth,"Output, indexed to 2000",0.030674592
2004,10580,"Albany-Schenectady-Troy, NY",Growth,"Output, indexed to 2000",0.06421265
2005,10580,"Albany-Schenectady-Troy, NY",Growth,"Output, indexed to 2000",0.090044633
2006,10580,"Albany-Schenectady-Troy, NY",Growth,"Output, indexed to 2000",0.102873996
2007,10580,"Albany-Schenectady-Troy, NY",Growth,"Output, indexed to 2000",0.115579531
2008,10580,"Albany-Schenectady-Troy, NY",Growth,"Output, indexed to 2000",0.110610887
2009,10580,"Albany-Schenectady-Troy, NY",Growth,"Output, indexed to 2000",0.110572435
2010,10580,"Albany-Schenectady-Troy, NY",Growth,"Output, indexed to 2000",0.126116335
2011,10580,"Albany-Schenectady-Troy, NY",Growth,"Output, indexed to 2000",0.135132834
2012,10580,"Albany-Schenectady-Troy, NY",Growth,"Output, indexed to 2000",0.164517969
2013,10580,"Albany-Schenectady-Troy, NY",Growth,"Output, indexed to 2000",0.17769593
2014,10580,"Albany-Schenectady-Troy, NY",Growth,"Output, indexed to 2000",0.202932358
2000,10740,"Albuquerque, NM",Growth,"Aggregate Wages, indexed to 2000",0
2001,10740,"Albuquerque, NM",Growth,"Aggregate Wages, indexed to 2000",0.035013504
2002,10740,"Albuquerque, NM",Growth,"Aggregate Wages, indexed to 2000",0.048899002
2003,10740,"Albuquerque, NM",Growth,"Aggregate Wages, indexed to 2000",0.073601916
2004,10740,"Albuquerque, NM",Growth,"Aggregate Wages, indexed to 2000",0.107313536
2005,10740,"Albuquerque, NM",Growth,"Aggregate Wages, indexed to 2000",0.138868794
2006,10740,"Albuquerque, NM",Growth,"Aggregate Wages, indexed to 2000",0.18896614
2007,10740,"Albuquerque, NM",Growth,"Aggregate Wages, indexed to 2000",0.211584315
2008,10740,"Albuquerque, NM",Growth,"Aggregate Wages, indexed to 2000",0.209408641
2009,10740,"Albuquerque, NM",Growth,"Aggregate Wages, indexed to 2000",0.18900612
2010,10740,"Albuquerque, NM",Growth,"Aggregate Wages, indexed to 2000",0.161374897
2011,10740,"Albuquerque, NM",Growth,"Aggregate Wages, indexed to 2000",0.149534762
2012,10740,"Albuquerque, NM",Growth,"Aggregate Wages, indexed to 2000",0.145456851
2013,10740,"Albuquerque, NM",Growth,"Aggregate Wages, indexed to 2000",0.134586185
2014,10740,"Albuquerque, NM",Growth,"Aggregate Wages, indexed to 2000",0.161526725
2000,10740,"Albuquerque, NM",Growth,"Employment, indexed to 2000",0
2001,10740,"Albuquerque, NM",Growth,"Employment, indexed to 2000",0.015126724
2002,10740,"Albuquerque, NM",Growth,"Employment, indexed to 2000",0.009755249
2003,10740,"Albuquerque, NM",Growth,"Employment, indexed to 2000",0.013573379
2004,10740,"Albuquerque, NM",Growth,"Employment, indexed to 2000",0.033256304
2005,10740,"Albuquerque, NM",Growth,"Employment, indexed to 2000",0.05466545
2006,10740,"Albuquerque, NM",Growth,"Employment, indexed to 2000",0.093199924
2007,10740,"Albuquerque, NM",Growth,"Employment, indexed to 2000",0.106113359
2008,10740,"Albuquerque, NM",Growth,"Employment, indexed to 2000",0.102970883
2009,10740,"Albuquerque, NM",Growth,"Employment, indexed to 2000",0.056028977
2010,10740,"Albuquerque, NM",Growth,"Employment, indexed to 2000",0.03929428
2011,10740,"Albuquerque, NM",Growth,"Employment, indexed to 2000",0.035832368
2012,10740,"Albuquerque, NM",Growth,"Employment, indexed to 2000",0.032104418
2013,10740,"Albuquerque, NM",Growth,"Employment, indexed to 2000",0.04331772
2014,10740,"Albuquerque, NM",Growth,"Employment, indexed to 2000",0.051382829
2000,10740,"Albuquerque, NM",Growth,"Output, indexed to 2000",0
2001,10740,"Albuquerque, NM",Growth,"Output, indexed to 2000",0.025727615
2002,10740,"Albuquerque, NM",Growth,"Output, indexed to 2000",0.044273529
2003,10740,"Albuquerque, NM",Growth,"Output, indexed to 2000",0.072251663
2004,10740,"Albuquerque, NM",Growth,"Output, indexed to 2000",0.140852198
2005,10740,"Albuquerque, NM",Growth,"Output, indexed to 2000",0.156358495
2006,10740,"Albuquerque, NM",Growth,"Output, indexed to 2000",0.171436235
2007,10740,"Albuquerque, NM",Growth,"Output, indexed to 2000",0.169454649
2008,10740,"Albuquerque, NM",Growth,"Output, indexed to 2000",0.17688331
2009,10740,"Albuquerque, NM",Growth,"Output, indexed to 2000",0.173343435
2010,10740,"Albuquerque, NM",Growth,"Output, indexed to 2000",0.189871222
2011,10740,"Albuquerque, NM",Growth,"Output, indexed to 2000",0.202191085
2012,10740,"Albuquerque, NM",Growth,"Output, indexed to 2000",0.207169726
2013,10740,"Albuquerque, NM",Growth,"Output, indexed to 2000",0.203541636
2014,10740,"Albuquerque, NM",Growth,"Output, indexed to 2000",0.202615663
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Aggregate Wages, indexed to 2000",0
2001,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Aggregate Wages, indexed to 2000",0.016020127
2002,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Aggregate Wages, indexed to 2000",0.034941711
2003,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Aggregate Wages, indexed to 2000",0.048231736
2004,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Aggregate Wages, indexed to 2000",0.06892769
2005,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Aggregate Wages, indexed to 2000",0.086681217
2006,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Aggregate Wages, indexed to 2000",0.121590272
2007,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Aggregate Wages, indexed to 2000",0.157593071
2008,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Aggregate Wages, indexed to 2000",0.140238419
2009,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Aggregate Wages, indexed to 2000",0.107229382
2010,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Aggregate Wages, indexed to 2000",0.109868012
2011,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Aggregate Wages, indexed to 2000",0.123982698
2012,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Aggregate Wages, indexed to 2000",0.145802766
2013,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Aggregate Wages, indexed to 2000",0.156386942
2014,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Aggregate Wages, indexed to 2000",0.195465624
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Employment, indexed to 2000",0
2001,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Employment, indexed to 2000",0.008516312
2002,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Employment, indexed to 2000",0.003891068
2003,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Employment, indexed to 2000",0.007133865
2004,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Employment, indexed to 2000",0.018822936
2005,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Employment, indexed to 2000",0.037439272
2006,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Employment, indexed to 2000",0.05499031
2007,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Employment, indexed to 2000",0.063962556
2008,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Employment, indexed to 2000",0.061371919
2009,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Employment, indexed to 2000",0.029640961
2010,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Employment, indexed to 2000",0.030355606
2011,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Employment, indexed to 2000",0.048804093
2012,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Employment, indexed to 2000",0.065208435
2013,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Employment, indexed to 2000",0.075084001
2014,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Employment, indexed to 2000",0.087581709
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Output, indexed to 2000",0
2001,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Output, indexed to 2000",0.04338501
2002,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Output, indexed to 2000",0.070124127
2003,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Output, indexed to 2000",0.113782041
2004,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Output, indexed to 2000",0.125323862
2005,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Output, indexed to 2000",0.153208002
2006,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Output, indexed to 2000",0.169546053
2007,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Output, indexed to 2000",0.182217255
2008,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Output, indexed to 2000",0.18862015
2009,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Output, indexed to 2000",0.155572131
2010,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Output, indexed to 2000",0.172687754
2011,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Output, indexed to 2000",0.185017318
2012,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Output, indexed to 2000",0.203867644
2013,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Output, indexed to 2000",0.23725532
2014,10900,"Allentown-Bethlehem-Easton, PA-NJ",Growth,"Output, indexed to 2000",0.269471586
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Aggregate Wages, indexed to 2000",0
2001,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Aggregate Wages, indexed to 2000",0.010451431
2002,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Aggregate Wages, indexed to 2000",-0.009110489
2003,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Aggregate Wages, indexed to 2000",-0.0068013
2004,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Aggregate Wages, indexed to 2000",0.018035125
2005,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Aggregate Wages, indexed to 2000",0.047847748
2006,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Aggregate Wages, indexed to 2000",0.08306969
2007,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Aggregate Wages, indexed to 2000",0.121887356
2008,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Aggregate Wages, indexed to 2000",0.086411439
2009,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Aggregate Wages, indexed to 2000",0.027690887
2010,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Aggregate Wages, indexed to 2000",0.024368363
2011,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Aggregate Wages, indexed to 2000",0.044415206
2012,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Aggregate Wages, indexed to 2000",0.073156051
2013,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Aggregate Wages, indexed to 2000",0.093237989
2014,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Aggregate Wages, indexed to 2000",0.142221913
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Employment, indexed to 2000",0
2001,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Employment, indexed to 2000",0.004729767
2002,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Employment, indexed to 2000",-0.013859101
2003,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Employment, indexed to 2000",-0.023826065
2004,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Employment, indexed to 2000",-0.010653991
2005,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Employment, indexed to 2000",0.019615555
2006,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Employment, indexed to 2000",0.047866669
2007,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Employment, indexed to 2000",0.068632506
2008,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Employment, indexed to 2000",0.057124175
2009,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Employment, indexed to 2000",-0.002064667
2010,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Employment, indexed to 2000",-0.011018143
2011,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Employment, indexed to 2000",0.00442482
2012,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Employment, indexed to 2000",0.022294158
2013,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Employment, indexed to 2000",0.04808487
2014,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Employment, indexed to 2000",0.086709902
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Output, indexed to 2000",0
2001,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Output, indexed to 2000",0.020374145
2002,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Output, indexed to 2000",0.031679839
2003,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Output, indexed to 2000",0.053487852
2004,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Output, indexed to 2000",0.081050493
2005,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Output, indexed to 2000",0.125220716
2006,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Output, indexed to 2000",0.150983512
2007,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Output, indexed to 2000",0.178678438
2008,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Output, indexed to 2000",0.160813376
2009,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Output, indexed to 2000",0.113481753
2010,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Output, indexed to 2000",0.121236876
2011,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Output, indexed to 2000",0.140840456
2012,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Output, indexed to 2000",0.153231353
2013,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Output, indexed to 2000",0.181681439
2014,12060,"Atlanta-Sandy Springs-Roswell, GA",Growth,"Output, indexed to 2000",0.218598023
2000,12260,"Augusta-Richmond County, GA-SC",Growth,"Aggregate Wages, indexed to 2000",0
2001,12260,"Augusta-Richmond County, GA-SC",Growth,"Aggregate Wages, indexed to 2000",0.008324279
2002,12260,"Augusta-Richmond County, GA-SC",Growth,"Aggregate Wages, indexed to 2000",0.027870484
2003,12260,"Augusta-Richmond County, GA-SC",Growth,"Aggregate Wages, indexed to 2000",0.05805435
2004,12260,"Augusta-Richmond County, GA-SC",Growth,"Aggregate Wages, indexed to 2000",0.079579465
2005,12260,"Augusta-Richmond County, GA-SC",Growth,"Aggregate Wages, indexed to 2000",0.091172792
2006,12260,"Augusta-Richmond County, GA-SC",Growth,"Aggregate Wages, indexed to 2000",0.094804227
2007,12260,"Augusta-Richmond County, GA-SC",Growth,"Aggregate Wages, indexed to 2000",0.113819048
2008,12260,"Augusta-Richmond County, GA-SC",Growth,"Aggregate Wages, indexed to 2000",0.124652863
2009,12260,"Augusta-Richmond County, GA-SC",Growth,"Aggregate Wages, indexed to 2000",0.115439609
2010,12260,"Augusta-Richmond County, GA-SC",Growth,"Aggregate Wages, indexed to 2000",0.129353404
2011,12260,"Augusta-Richmond County, GA-SC",Growth,"Aggregate Wages, indexed to 2000",0.131398156
2012,12260,"Augusta-Richmond County, GA-SC",Growth,"Aggregate Wages, indexed to 2000",0.136673123
2013,12260,"Augusta-Richmond County, GA-SC",Growth,"Aggregate Wages, indexed to 2000",0.119480893
2014,12260,"Augusta-Richmond County, GA-SC",Growth,"Aggregate Wages, indexed to 2000",0.15089646
2000,12260,"Augusta-Richmond County, GA-SC",Growth,"Employment, indexed to 2000",0
2001,12260,"Augusta-Richmond County, GA-SC",Growth,"Employment, indexed to 2000",-0.009370346
2002,12260,"Augusta-Richmond County, GA-SC",Growth,"Employment, indexed to 2000",-0.005527344
2003,12260,"Augusta-Richmond County, GA-SC",Growth,"Employment, indexed to 2000",0.003428116
2004,12260,"Augusta-Richmond County, GA-SC",Growth,"Employment, indexed to 2000",0.026759949
2005,12260,"Augusta-Richmond County, GA-SC",Growth,"Employment, indexed to 2000",0.03324173
2006,12260,"Augusta-Richmond County, GA-SC",Growth,"Employment, indexed to 2000",0.031467363
2007,12260,"Augusta-Richmond County, GA-SC",Growth,"Employment, indexed to 2000",0.041697081
2008,12260,"Augusta-Richmond County, GA-SC",Growth,"Employment, indexed to 2000",0.040451661
2009,12260,"Augusta-Richmond County, GA-SC",Growth,"Employment, indexed to 2000",0.011668014
2010,12260,"Augusta-Richmond County, GA-SC",Growth,"Employment, indexed to 2000",0.016209945
2011,12260,"Augusta-Richmond County, GA-SC",Growth,"Employment, indexed to 2000",0.024969406
2012,12260,"Augusta-Richmond County, GA-SC",Growth,"Employment, indexed to 2000",0.028086549
2013,12260,"Augusta-Richmond County, GA-SC",Growth,"Employment, indexed to 2000",0.039785538
2014,12260,"Augusta-Richmond County, GA-SC",Growth,"Employment, indexed to 2000",0.062117081
2000,12260,"Augusta-Richmond County, GA-SC",Growth,"Output, indexed to 2000",0
2001,12260,"Augusta-Richmond County, GA-SC",Growth,"Output, indexed to 2000",-0.000569229
2002,12260,"Augusta-Richmond County, GA-SC",Growth,"Output, indexed to 2000",0.010551986
2003,12260,"Augusta-Richmond County, GA-SC",Growth,"Output, indexed to 2000",0.034296036
2004,12260,"Augusta-Richmond County, GA-SC",Growth,"Output, indexed to 2000",0.050306931
2005,12260,"Augusta-Richmond County, GA-SC",Growth,"Output, indexed to 2000",0.065224454
2006,12260,"Augusta-Richmond County, GA-SC",Growth,"Output, indexed to 2000",0.051653977
2007,12260,"Augusta-Richmond County, GA-SC",Growth,"Output, indexed to 2000",0.055648193
2008,12260,"Augusta-Richmond County, GA-SC",Growth,"Output, indexed to 2000",0.04260933
2009,12260,"Augusta-Richmond County, GA-SC",Growth,"Output, indexed to 2000",0.04382965
2010,12260,"Augusta-Richmond County, GA-SC",Growth,"Output, indexed to 2000",0.079430006
2011,12260,"Augusta-Richmond County, GA-SC",Growth,"Output, indexed to 2000",0.090572588
2012,12260,"Augusta-Richmond County, GA-SC",Growth,"Output, indexed to 2000",0.082463302
2013,12260,"Augusta-Richmond County, GA-SC",Growth,"Output, indexed to 2000",0.083652191
2014,12260,"Augusta-Richmond County, GA-SC",Growth,"Output, indexed to 2000",0.092307284
2000,12420,"Austin-Round Rock, TX",Growth,"Aggregate Wages, indexed to 2000",0
2001,12420,"Austin-Round Rock, TX",Growth,"Aggregate Wages, indexed to 2000",-0.021069717
2002,12420,"Austin-Round Rock, TX",Growth,"Aggregate Wages, indexed to 2000",-0.084265672
2003,12420,"Austin-Round Rock, TX",Growth,"Aggregate Wages, indexed to 2000",-0.080514066
2004,12420,"Austin-Round Rock, TX",Growth,"Aggregate Wages, indexed to 2000",-0.054078445
2005,12420,"Austin-Round Rock, TX",Growth,"Aggregate Wages, indexed to 2000",-0.003345108
2006,12420,"Austin-Round Rock, TX",Growth,"Aggregate Wages, indexed to 2000",0.068867341
2007,12420,"Austin-Round Rock, TX",Growth,"Aggregate Wages, indexed to 2000",0.114630051
2008,12420,"Austin-Round Rock, TX",Growth,"Aggregate Wages, indexed to 2000",0.124910206
2009,12420,"Austin-Round Rock, TX",Growth,"Aggregate Wages, indexed to 2000",0.098416366
2010,12420,"Austin-Round Rock, TX",Growth,"Aggregate Wages, indexed to 2000",0.131964028
2011,12420,"Austin-Round Rock, TX",Growth,"Aggregate Wages, indexed to 2000",0.181379542
2012,12420,"Austin-Round Rock, TX",Growth,"Aggregate Wages, indexed to 2000",0.24227348
2013,12420,"Austin-Round Rock, TX",Growth,"Aggregate Wages, indexed to 2000",0.281539917
2014,12420,"Austin-Round Rock, TX",Growth,"Aggregate Wages, indexed to 2000",0.367298722
2000,12420,"Austin-Round Rock, TX",Growth,"Employment, indexed to 2000",0
2001,12420,"Austin-Round Rock, TX",Growth,"Employment, indexed to 2000",0.003069076
2002,12420,"Austin-Round Rock, TX",Growth,"Employment, indexed to 2000",-0.020967407
2003,12420,"Austin-Round Rock, TX",Growth,"Employment, indexed to 2000",-0.029438248
2004,12420,"Austin-Round Rock, TX",Growth,"Employment, indexed to 2000",-0.007895965
2005,12420,"Austin-Round Rock, TX",Growth,"Employment, indexed to 2000",0.029197235
2006,12420,"Austin-Round Rock, TX",Growth,"Employment, indexed to 2000",0.074620053
2007,12420,"Austin-Round Rock, TX",Growth,"Employment, indexed to 2000",0.127208859
2008,12420,"Austin-Round Rock, TX",Growth,"Employment, indexed to 2000",0.154663309
2009,12420,"Austin-Round Rock, TX",Growth,"Employment, indexed to 2000",0.130127564
2010,12420,"Austin-Round Rock, TX",Growth,"Employment, indexed to 2000",0.146620482
