Year,CBSA,CBSA_Name,Race,Indicator,Value,SE,Sig
1999-2014,12060,"Atlanta-Sandy Springs-Roswell, GA",Other,Percentage Point Change in Employment-to-Population Ratio,-0.0577533841,0.0242666006,*
1999-2014,12060,"Atlanta-Sandy Springs-Roswell, GA",People of Color,Percentage Point Change in Employment-to-Population Ratio,-0.0093813539,0.0048069721,*
1999-2014,12060,"Atlanta-Sandy Springs-Roswell, GA",Total,Percentage Point Change in Employment-to-Population Ratio,-0.0393018126,0.003365441,*
1999-2014,12060,"Atlanta-Sandy Springs-Roswell, GA",White,Percentage Point Change in Employment-to-Population Ratio,-0.0499031544,0.003675875,*
1999-2014,12260,"Augusta-Richmond County, GA-SC",Asian,Percentage Point Change in Employment-to-Population Ratio,0.0872764587,0.0726319253,
1999-2014,12260,"Augusta-Richmond County, GA-SC",Black,Percentage Point Change in Employment-to-Population Ratio,-0.0061731339,0.0226937402,
1999-2014,12260,"Augusta-Richmond County, GA-SC",Hispanic,Percentage Point Change in Employment-to-Population Ratio,-0.0362150073,0.0482632704,
1999-2014,12260,"Augusta-Richmond County, GA-SC",Other,Percentage Point Change in Employment-to-Population Ratio,-0.0166720748,0.077810429,
1999-2014,12260,"Augusta-Richmond County, GA-SC",People of Color,Percentage Point Change in Employment-to-Population Ratio,-0.0031536818,0.0195415225,
1999-2014,12260,"Augusta-Richmond County, GA-SC",Total,Percentage Point Change in Employment-to-Population Ratio,-0.0404670835,0.0119920373,*
1999-2014,12260,"Augusta-Richmond County, GA-SC",White,Percentage Point Change in Employment-to-Population Ratio,-0.0585597157,0.0146644842,*
1999-2014,12420,"Austin-Round Rock, TX",Asian,Percentage Point Change in Employment-to-Population Ratio,0.043246448,0.0204337984,*
1999-2014,12420,"Austin-Round Rock, TX",Black,Percentage Point Change in Employment-to-Population Ratio,0.0361364484,0.0216923747,*
1999-2014,12420,"Austin-Round Rock, TX",Hispanic,Percentage Point Change in Employment-to-Population Ratio,0.0398728848,0.0092301993,*
1999-2014,12420,"Austin-Round Rock, TX",Other,Percentage Point Change in Employment-to-Population Ratio,-0.0771395564,0.0381642953,*
1999-2014,12420,"Austin-Round Rock, TX",People of Color,Percentage Point Change in Employment-to-Population Ratio,0.0345354676,0.0082649412,*
1999-2014,12420,"Austin-Round Rock, TX",Total,Percentage Point Change in Employment-to-Population Ratio,-0.0069010258,0.005779516,
1999-2014,12420,"Austin-Round Rock, TX",White,Percentage Point Change in Employment-to-Population Ratio,-0.0270597339,0.00656984,*
1999-2014,12540,"Bakersfield, CA",Asian,Percentage Point Change in Employment-to-Population Ratio,-0.0362960696,0.0440374911,
1999-2014,12540,"Bakersfield, CA",Black,Percentage Point Change in Employment-to-Population Ratio,-0.0531002581,0.0437416285,
1999-2014,12540,"Bakersfield, CA",Hispanic,Percentage Point Change in Employment-to-Population Ratio,0.0919973254,0.0137598896,*
1999-2014,12540,"Bakersfield, CA",Other,Percentage Point Change in Employment-to-Population Ratio,0.0064561963,0.0758717209,
1999-2014,12540,"Bakersfield, CA",People of Color,Percentage Point Change in Employment-to-Population Ratio,0.0716241002,0.0130302822,*
1999-2014,12540,"Bakersfield, CA",Total,Percentage Point Change in Employment-to-Population Ratio,0.0075941682,0.0095484341,
1999-2014,12540,"Bakersfield, CA",White,Percentage Point Change in Employment-to-Population Ratio,-0.0493229032,0.0138445552,*
1999-2014,12580,"Baltimore-Columbia-Towson, MD",Asian,Percentage Point Change in Employment-to-Population Ratio,0.0792557597,0.0144368652,*
1999-2014,12580,"Baltimore-Columbia-Towson, MD",Black,Percentage Point Change in Employment-to-Population Ratio,0.023904562,0.0078828521,*
1999-2014,12580,"Baltimore-Columbia-Towson, MD",Hispanic,Percentage Point Change in Employment-to-Population Ratio,0.0200440884,0.0198091343,
1999-2014,12580,"Baltimore-Columbia-Towson, MD",Other,Percentage Point Change in Employment-to-Population Ratio,-0.0051749945,0.0294242296,
1999-2014,12580,"Baltimore-Columbia-Towson, MD",People of Color,Percentage Point Change in Employment-to-Population Ratio,0.0384523273,0.0056707682,*
1999-2014,12580,"Baltimore-Columbia-Towson, MD",Total,Percentage Point Change in Employment-to-Population Ratio,-0.0012552142,0.0038778849,
1999-2014,12580,"Baltimore-Columbia-Towson, MD",White,Percentage Point Change in Employment-to-Population Ratio,-0.0085427761,0.0052680131,
1999-2014,12940,"Baton Rouge, LA",Asian,Percentage Point Change in Employment-to-Population Ratio,0.1483914852,0.0499845073,*
1999-2014,12940,"Baton Rouge, LA",Black,Percentage Point Change in Employment-to-Population Ratio,0.1051817536,0.0142240804,*
1999-2014,12940,"Baton Rouge, LA",Hispanic,Percentage Point Change in Employment-to-Population Ratio,0.0844295621,0.037339963,*
1999-2014,12940,"Baton Rouge, LA",Other,Percentage Point Change in Employment-to-Population Ratio,-0.1062673926,0.0832777619,
1999-2014,12940,"Baton Rouge, LA",People of Color,Percentage Point Change in Employment-to-Population Ratio,0.1040560603,0.0124332998,*
1999-2014,12940,"Baton Rouge, LA",Total,Percentage Point Change in Employment-to-Population Ratio,0.0381631255,0.0068846392,*
1999-2014,12940,"Baton Rouge, LA",White,Percentage Point Change in Employment-to-Population Ratio,0.0044022202,0.0105376327,
1999-2014,13820,"Birmingham-Hoover, AL",Asian,Percentage Point Change in Employment-to-Population Ratio,0.2733915448,0.0392733254,*
1999-2014,13820,"Birmingham-Hoover, AL",Black,Percentage Point Change in Employment-to-Population Ratio,0.0091854334,0.0152304824,
1999-2014,13820,"Birmingham-Hoover, AL",Hispanic,Percentage Point Change in Employment-to-Population Ratio,-0.0014054179,0.0361548513,
1999-2014,13820,"Birmingham-Hoover, AL",Other,Percentage Point Change in Employment-to-Population Ratio,-0.0150762796,0.0669274926,
1999-2014,13820,"Birmingham-Hoover, AL",People of Color,Percentage Point Change in Employment-to-Population Ratio,0.0213517547,0.0136272889,
1999-2014,13820,"Birmingham-Hoover, AL",Total,Percentage Point Change in Employment-to-Population Ratio,-0.0206249952,0.0066026021,*
1999-2014,13820,"Birmingham-Hoover, AL",White,Percentage Point Change in Employment-to-Population Ratio,-0.0351626873,0.007037078,*
1999-2014,14260,"Boise City, ID",Asian,Percentage Point Change in Employment-to-Population Ratio,-0.0976018906,0.0773362741,
1999-2014,14260,"Boise City, ID",Black,Percentage Point Change in Employment-to-Population Ratio,0.0847148895,0.1024188027,
1999-2014,14260,"Boise City, ID",Hispanic,Percentage Point Change in Employment-to-Population Ratio,0.012041688,0.0366029702,
1999-2014,14260,"Boise City, ID",Other,Percentage Point Change in Employment-to-Population Ratio,0.052898109,0.0612985268,
1999-2014,14260,"Boise City, ID",People of Color,Percentage Point Change in Employment-to-Population Ratio,0.0010036826,0.0302145239,
1999-2014,14260,"Boise City, ID",Total,Percentage Point Change in Employment-to-Population Ratio,-0.0650778413,0.0098855486,*
1999-2014,14260,"Boise City, ID",White,Percentage Point Change in Employment-to-Population Ratio,-0.0724096894,0.0107623432,*
1999-2014,14460,"Boston-Cambridge-Newton, MA-NH",Asian,Percentage Point Change in Employment-to-Population Ratio,0.04239887,0.0118129821,*
1999-2014,14460,"Boston-Cambridge-Newton, MA-NH",Black,Percentage Point Change in Employment-to-Population Ratio,0.0607991219,0.0146420486,*
1999-2014,14460,"Boston-Cambridge-Newton, MA-NH",Hispanic,Percentage Point Change in Employment-to-Population Ratio,0.0789644718,0.0121459626,*
1999-2014,14460,"Boston-Cambridge-Newton, MA-NH",Other,Percentage Point Change in Employment-to-Population Ratio,0.025482595,0.0228879377,
1999-2014,14460,"Boston-Cambridge-Newton, MA-NH",People of Color,Percentage Point Change in Employment-to-Population Ratio,0.056452632,0.007078873,*
1999-2014,14460,"Boston-Cambridge-Newton, MA-NH",Total,Percentage Point Change in Employment-to-Population Ratio,-0.0024095178,0.0035164361,
1999-2014,14460,"Boston-Cambridge-Newton, MA-NH",White,Percentage Point Change in Employment-to-Population Ratio,-0.0062462091,0.003602043,*
1999-2014,14860,"Bridgeport-Stamford-Norwalk, CT",Asian,Percentage Point Change in Employment-to-Population Ratio,0.0254025459,0.0327159651,
1999-2014,14860,"Bridgeport-Stamford-Norwalk, CT",Black,Percentage Point Change in Employment-to-Population Ratio,0.0235782862,0.0205248073,
1999-2014,14860,"Bridgeport-Stamford-Norwalk, CT",Hispanic,Percentage Point Change in Employment-to-Population Ratio,0.071174562,0.0186863113,*
1999-2014,14860,"Bridgeport-Stamford-Norwalk, CT",Other,Percentage Point Change in Employment-to-Population Ratio,-0.0159600973,0.0502820536,
1999-2014,14860,"Bridgeport-Stamford-Norwalk, CT",People of Color,Percentage Point Change in Employment-to-Population Ratio,0.0435496569,0.0135107376,*
1999-2014,14860,"Bridgeport-Stamford-Norwalk, CT",Total,Percentage Point Change in Employment-to-Population Ratio,-0.0089790821,0.0070799668,
1999-2014,14860,"Bridgeport-Stamford-Norwalk, CT",White,Percentage Point Change in Employment-to-Population Ratio,-0.0250234008,0.0067689531,*
1999-2014,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",Asian,Percentage Point Change in Employment-to-Population Ratio,0.0190435052,0.0410799533,
1999-2014,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",Black,Percentage Point Change in Employment-to-Population Ratio,0.0548242331,0.0247596391,*
1999-2014,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",Hispanic,Percentage Point Change in Employment-to-Population Ratio,0.0773372054,0.0357553847,*
1999-2014,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",Other,Percentage Point Change in Employment-to-Population Ratio,-0.0545236468,0.037960086,
1999-2014,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",People of Color,Percentage Point Change in Employment-to-Population Ratio,0.040564239,0.0185913015,*
1999-2014,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",Total,Percentage Point Change in Employment-to-Population Ratio,-0.0010436177,0.0065512499,
1999-2014,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",White,Percentage Point Change in Employment-to-Population Ratio,-0.0003353357,0.007413323,
1999-2014,15980,"Cape Coral-Fort Myers, FL",Asian,Percentage Point Change in Employment-to-Population Ratio,0.0608654022,0.0938758329,
1999-2014,15980,"Cape Coral-Fort Myers, FL",Black,Percentage Point Change in Employment-to-Population Ratio,-0.0119596124,0.0360335819,
1999-2014,15980,"Cape Coral-Fort Myers, FL",Hispanic,Percentage Point Change in Employment-to-Population Ratio,0.0229287148,0.0204127282,
1999-2014,15980,"Cape Coral-Fort Myers, FL",Other,Percentage Point Change in Employment-to-Population Ratio,0.0746356249,0.0765072852,
1999-2014,15980,"Cape Coral-Fort Myers, FL",People of Color,Percentage Point Change in Employment-to-Population Ratio,0.0193321705,0.0195888728,
1999-2014,15980,"Cape Coral-Fort Myers, FL",Total,Percentage Point Change in Employment-to-Population Ratio,-0.0189573169,0.0106745977,*
1999-2014,15980,"Cape Coral-Fort Myers, FL",White,Percentage Point Change in Employment-to-Population Ratio,-0.0290922523,0.0118521638,*
1999-2014,16700,"Charleston-North Charleston, SC",Asian,Percentage Point Change in Employment-to-Population Ratio,0.0737876892,0.0599586666,
1999-2014,16700,"Charleston-North Charleston, SC",Black,Percentage Point Change in Employment-to-Population Ratio,0.0613427758,0.0213669986,*
1999-2014,16700,"Charleston-North Charleston, SC",Hispanic,Percentage Point Change in Employment-to-Population Ratio,-0.0771148801,0.0354391634,*
1999-2014,16700,"Charleston-North Charleston, SC",Other,Percentage Point Change in Employment-to-Population Ratio,0.0374555588,0.0498691387,
1999-2014,16700,"Charleston-North Charleston, SC",People of Color,Percentage Point Change in Employment-to-Population Ratio,0.0504943728,0.0172578171,*
1999-2014,16700,"Charleston-North Charleston, SC",Total,Percentage Point Change in Employment-to-Population Ratio,0.0194736719,0.0088662077,*
1999-2014,16700,"Charleston-North Charleston, SC",White,Percentage Point Change in Employment-to-Population Ratio,0.0041996837,0.0107127288,
1999-2014,16740,"Charlotte-Concord-Gastonia, NC-SC",Asian,Percentage Point Change in Employment-to-Population Ratio,0.043848753,0.0184432194,*
1999-2014,16740,"Charlotte-Concord-Gastonia, NC-SC",Black,Percentage Point Change in Employment-to-Population Ratio,-0.0069198012,0.0113190301,
1999-2014,16740,"Charlotte-Concord-Gastonia, NC-SC",Hispanic,Percentage Point Change in Employment-to-Population Ratio,0.059997201,0.0153724626,*
1999-2014,16740,"Charlotte-Concord-Gastonia, NC-SC",Other,Percentage Point Change in Employment-to-Population Ratio,-0.0405204296,0.0406684838,
1999-2014,16740,"Charlotte-Concord-Gastonia, NC-SC",People of Color,Percentage Point Change in Employment-to-Population Ratio,0.011893332,0.0087104253,
1999-2014,16740,"Charlotte-Concord-Gastonia, NC-SC",Total,Percentage Point Change in Employment-to-Population Ratio,-0.0346978307,0.0052308361,*
1999-2014,16740,"Charlotte-Concord-Gastonia, NC-SC",White,Percentage Point Change in Employment-to-Population Ratio,-0.0478253365,0.005834613,*
1999-2014,16860,"Chattanooga, TN-GA",Asian,Percentage Point Change in Employment-to-Population Ratio,-0.0066105127,0.0581898615,
1999-2014,16860,"Chattanooga, TN-GA",Black,Percentage Point Change in Employment-to-Population Ratio,-0.0371626019,0.0257999729,
1999-2014,16860,"Chattanooga, TN-GA",Hispanic,Percentage Point Change in Employment-to-Population Ratio,0.0460451841,0.0451257192,
1999-2014,16860,"Chattanooga, TN-GA",Other,Percentage Point Change in Employment-to-Population Ratio,0.0032393336,0.090820998,
1999-2014,16860,"Chattanooga, TN-GA",People of Color,Percentage Point Change in Employment-to-Population Ratio,-0.0118516684,0.0220488533,
1999-2014,16860,"Chattanooga, TN-GA",Total,Percentage Point Change in Employment-to-Population Ratio,-0.0482292175,0.0096924724,*
1999-2014,16860,"Chattanooga, TN-GA",White,Percentage Point Change in Employment-to-Population Ratio,-0.054297328,0.0116337975,*
1999-2014,16980,"Chicago-Naperville-Elgin, IL-IN-WI",Asian,Percentage Point Change in Employment-to-Population Ratio,0.0285397768,0.0085734017,*
1999-2014,16980,"Chicago-Naperville-Elgin, IL-IN-WI",Black,Percentage Point Change in Employment-to-Population Ratio,-0.0024644732,0.0081831999,
1999-2014,16980,"Chicago-Naperville-Elgin, IL-IN-WI",Hispanic,Percentage Point Change in Employment-to-Population Ratio,0.0952188969,0.0057591791,*
1999-2014,16980,"Chicago-Naperville-Elgin, IL-IN-WI",Other,Percentage Point Change in Employment-to-Population Ratio,-0.0721831322,0.0220201295,*
1999-2014,16980,"Chicago-Naperville-Elgin, IL-IN-WI",People of Color,Percentage Point Change in Employment-to-Population Ratio,0.0492128134,0.0043651839,*
1999-2014,16980,"Chicago-Naperville-Elgin, IL-IN-WI",Total,Percentage Point Change in Employment-to-Population Ratio,0.0046307445,0.002438518,*
1999-2014,16980,"Chicago-Naperville-Elgin, IL-IN-WI",White,Percentage Point Change in Employment-to-Population Ratio,-0.0145741701,0.002977798,*
1999-2014,17140,"Cincinnati, OH-KY-IN",Asian,Percentage Point Change in Employment-to-Population Ratio,-0.0572318435,0.0311955791,*
1999-2014,17140,"Cincinnati, OH-KY-IN",Black,Percentage Point Change in Employment-to-Population Ratio,0.0305615664,0.0152239716,*
1999-2014,17140,"Cincinnati, OH-KY-IN",Hispanic,Percentage Point Change in Employment-to-Population Ratio,0.0730835795,0.0385061204,*
1999-2014,17140,"Cincinnati, OH-KY-IN",Other,Percentage Point Change in Employment-to-Population Ratio,-0.062220037,0.04165392,
1999-2014,17140,"Cincinnati, OH-KY-IN",People of Color,Percentage Point Change in Employment-to-Population Ratio,0.0249791145,0.0132750887,*
1999-2014,17140,"Cincinnati, OH-KY-IN",Total,Percentage Point Change in Employment-to-Population Ratio,-0.0170415044,0.0044985558,*
1999-2014,17140,"Cincinnati, OH-KY-IN",White,Percentage Point Change in Employment-to-Population Ratio,-0.0208254457,0.0048339199,*
1999-2014,17460,"Cleveland-Elyria, OH",Asian,Percentage Point Change in Employment-to-Population Ratio,0.054204464,0.0281159803,*
1999-2014,17460,"Cleveland-Elyria, OH",Black,Percentage Point Change in Employment-to-Population Ratio,-0.0383056402,0.0124177067,*
1999-2014,17460,"Cleveland-Elyria, OH",Hispanic,Percentage Point Change in Employment-to-Population Ratio,0.063164711,0.0232233033,*
1999-2014,17460,"Cleveland-Elyria, OH",Other,Percentage Point Change in Employment-to-Population Ratio,-0.0852620006,0.0435212031,*
1999-2014,17460,"Cleveland-Elyria, OH",People of Color,Percentage Point Change in Employment-to-Population Ratio,-0.0142569542,0.0101756146,
1999-2014,17460,"Cleveland-Elyria, OH",Total,Percentage Point Change in Employment-to-Population Ratio,-0.0156135559,0.004176423,*
1999-2014,17460,"Cleveland-Elyria, OH",White,Percentage Point Change in Employment-to-Population Ratio,-0.0069513321,0.0046799011,
1999-2014,17820,"Colorado Springs, CO",Asian,Percentage Point Change in Employment-to-Population Ratio,0.0300412774,0.0700986609,
1999-2014,17820,"Colorado Springs, CO",Black,Percentage Point Change in Employment-to-Population Ratio,0.0451626182,0.0355579555,
1999-2014,17820,"Colorado Springs, CO",Hispanic,Percentage Point Change in Employment-to-Population Ratio,-0.0460920334,0.0267202072,*
1999-2014,17820,"Colorado Springs, CO",Other,Percentage Point Change in Employment-to-Population Ratio,-0.1041297317,0.0458823368,*
1999-2014,17820,"Colorado Springs, CO",People of Color,Percentage Point Change in Employment-to-Population Ratio,-0.027025044,0.0169813596,
1999-2014,17820,"Colorado Springs, CO",Total,Percentage Point Change in Employment-to-Population Ratio,-0.0481358171,0.0077117002,*
1999-2014,17820,"Colorado Springs, CO",White,Percentage Point Change in Employment-to-Population Ratio,-0.0520834327,0.0088636596,*
1999-2014,17900,"Columbia, SC",Asian,Percentage Point Change in Employment-to-Population Ratio,-0.0653877258,0.0674220324,
1999-2014,17900,"Columbia, SC",Black,Percentage Point Change in Employment-to-Population Ratio,0.0102931857,0.0174816586,
1999-2014,17900,"Columbia, SC",Hispanic,Percentage Point Change in Employment-to-Population Ratio,-0.0003960729,0.0364846885,
1999-2014,17900,"Columbia, SC",Other,Percentage Point Change in Employment-to-Population Ratio,-0.0495729446,0.0672698542,
1999-2014,17900,"Columbia, SC",People of Color,Percentage Point Change in Employment-to-Population Ratio,0.0049276948,0.014438739,
1999-2014,17900,"Columbia, SC",Total,Percentage Point Change in Employment-to-Population Ratio,-0.0293651223,0.0080720959,*
1999-2014,17900,"Columbia, SC",White,Percentage Point Change in Employment-to-Population Ratio,-0.0432989597,0.0094900234,*
1999-2014,18140,"Columbus, OH",Asian,Percentage Point Change in Employment-to-Population Ratio,-0.020235002,0.0250636637,
1999-2014,18140,"Columbus, OH",Black,Percentage Point Change in Employment-to-Population Ratio,0.0240536332,0.0204684641,
1999-2014,18140,"Columbus, OH",Hispanic,Percentage Point Change in Employment-to-Population Ratio,0.0837942362,0.022224009,*
1999-2014,18140,"Columbus, OH",Other,Percentage Point Change in Employment-to-Population Ratio,0.0203456283,0.0281811543,
1999-2014,18140,"Columbus, OH",People of Color,Percentage Point Change in Employment-to-Population Ratio,0.0270015597,0.0132482275,*
1999-2014,18140,"Columbus, OH",Total,Percentage Point Change in Employment-to-Population Ratio,-0.0113576651,0.0049020029,*
1999-2014,18140,"Columbus, OH",White,Percentage Point Change in Employment-to-Population Ratio,-0.0144932866,0.0053151818,*
1999-2014,19100,"Dallas-Fort Worth-Arlington, TX",Asian,Percentage Point Change in Employment-to-Population Ratio,0.0359152555,0.010060803,*
1999-2014,19100,"Dallas-Fort Worth-Arlington, TX",Black,Percentage Point Change in Employment-to-Population Ratio,0.0245968103,0.006608034,*
1999-2014,19100,"Dallas-Fort Worth-Arlington, TX",Hispanic,Percentage Point Change in Employment-to-Population Ratio,0.0912784338,0.0045204381,*
1999-2014,19100,"Dallas-Fort Worth-Arlington, TX",Other,Percentage Point Change in Employment-to-Population Ratio,-0.0101644397,0.0210187826,
1999-2014,19100,"Dallas-Fort Worth-Arlington, TX",People of Color,Percentage Point Change in Employment-to-Population Ratio,0.0596035719,0.0036991229,*
1999-2014,19100,"Dallas-Fort Worth-Arlington, TX",Total,Percentage Point Change in Employment-to-Population Ratio,0.0055098534,0.002714877,*
1999-2014,19100,"Dallas-Fort Worth-Arlington, TX",White,Percentage Point Change in Employment-to-Population Ratio,-0.0222036839,0.0034866091,*
1999-2014,19380,"Dayton, OH",Asian,Percentage Point Change in Employment-to-Population Ratio,0.0496293306,0.0530266762,
1999-2014,19380,"Dayton, OH",Black,Percentage Point Change in Employment-to-Population Ratio,0.0101863146,0.0257708114,
1999-2014,19380,"Dayton, OH",Hispanic,Percentage Point Change in Employment-to-Population Ratio,-0.0798643231,0.0584170595,
1999-2014,19380,"Dayton, OH",Other,Percentage Point Change in Employment-to-Population Ratio,-0.0921158195,0.0579674356,
1999-2014,19380,"Dayton, OH",People of Color,Percentage Point Change in Employment-to-Population Ratio,0.0033473969,0.020696329,
1999-2014,19380,"Dayton, OH",Total,Percentage Point Change in Employment-to-Population Ratio,-0.0327470303,0.0093863197,*
1999-2014,19380,"Dayton, OH",White,Percentage Point Change in Employment-to-Population Ratio,-0.0373017192,0.0103984401,*
1999-2014,19660,"Deltona-Daytona Beach-Ormond Beach, FL",Asian,Percentage Point Change in Employment-to-Population Ratio,-0.0621665716,0.0807117745,
1999-2014,19660,"Deltona-Daytona Beach-Ormond Beach, FL",Black,Percentage Point Change in Employment-to-Population Ratio,-0.0248678923,0.0346867405,
1999-2014,19660,"Deltona-Daytona Beach-Ormond Beach, FL",Hispanic,Percentage Point Change in Employment-to-Population Ratio,-0.0276284218,0.0364899635,
1999-2014,19660,"Deltona-Daytona Beach-Ormond Beach, FL",Other,Percentage Point Change in Employment-to-Population Ratio,-0.120780468,0.0886822939,
1999-2014,19660,"Deltona-Daytona Beach-Ormond Beach, FL",People of Color,Percentage Point Change in Employment-to-Population Ratio,-0.0344187021,0.023483742,
1999-2014,19660,"Deltona-Daytona Beach-Ormond Beach, FL",Total,Percentage Point Change in Employment-to-Population Ratio,-0.0594902635,0.01082562,*
1999-2014,19660,"Deltona-Daytona Beach-Ormond Beach, FL",White,Percentage Point Change in Employment-to-Population Ratio,-0.0584504008,0.01187036,*
1999-2014,19740,"Denver-Aurora-Lakewood, CO",Asian,Percentage Point Change in Employment-to-Population Ratio,-0.0011367798,0.0172092039,
1999-2014,19740,"Denver-Aurora-Lakewood, CO",Black,Percentage Point Change in Employment-to-Population Ratio,0.033442378,0.0195151698,*
1999-2014,19740,"Denver-Aurora-Lakewood, CO",Hispanic,Percentage Point Change in Employment-to-Population Ratio,0.0811365843,0.0090569491,*
1999-2014,19740,"Denver-Aurora-Lakewood, CO",Other,Percentage Point Change in Employment-to-Population Ratio,-0.0193571448,0.0237795822,
1999-2014,19740,"Denver-Aurora-Lakewood, CO",People of Color,Percentage Point Change in Employment-to-Population Ratio,0.055147469,0.0081850458,*
1999-2014,19740,"Denver-Aurora-Lakewood, CO",Total,Percentage Point Change in Employment-to-Population Ratio,-0.0057713389,0.003606769,
1999-2014,19740,"Denver-Aurora-Lakewood, CO",White,Percentage Point Change in Employment-to-Population Ratio,-0.02404356,0.003615489,*
1999-2014,19780,"Des Moines-West Des Moines, IA",Asian,Percentage Point Change in Employment-to-Population Ratio,0.0645629168,0.0441287719,
1999-2014,19780,"Des Moines-West Des Moines, IA",Black,Percentage Point Change in Employment-to-Population Ratio,0.0608488917,0.0649139285,
1999-2014,19780,"Des Moines-West Des Moines, IA",Hispanic,Percentage Point Change in Employment-to-Population Ratio,0.0834356546,0.0507907942,
1999-2014,19780,"Des Moines-West Des Moines, IA",Other,Percentage Point Change in Employment-to-Population Ratio,0.0252594948,0.0821199492,
