Year,CBSA,CBSA Name,Composite,Rank,Score
2009-2014,30780,Little Rock-North Little Rock-Conway; AR Metropolitan Stat,Prosperity,37,0.544427926
2009-2014,31080,Los Angeles-Long Beach-Anaheim; CA Metropolitan Statistica,Prosperity,48,0.004464721
2009-2014,31140,Louisville/Jefferson County; KY-IN Metropolitan Statistica,Prosperity,30,1.314098325
2009-2014,31540,Madison; WI Metropolitan Statistical Area,Prosperity,15,2.742981281
2009-2014,32580,McAllen-Edinburg-Mission; TX Metropolitan Statistical Area,Prosperity,25,1.728896171
2009-2014,32820,Memphis; TN-MS-AR Metropolitan Statistical Area,Prosperity,73,-1.532023114
2009-2014,33100,Miami-Fort Lauderdale-West Palm Beach; FL Metropolitan Sta,Prosperity,86,-2.547397014
2009-2014,33340,Milwaukee-Waukesha-West Allis; WI Metropolitan Statistical,Prosperity,47,0.070480038
2009-2014,33460,Minneapolis-St. Paul-Bloomington; MN-WI Metropolitan Stati,Prosperity,26,1.683905396
2009-2014,34980,Nashville-Davidson--Murfreesboro--Franklin; TN Metropolita,Prosperity,10,3.357117782
2009-2014,35300,New Haven-Milford; CT Metropolitan Statistical Area,Prosperity,65,-1.314434932
2009-2014,35380,New Orleans-Metairie; LA Metropolitan Statistical Area,Prosperity,98,-4.703550381
2009-2014,35620,New York-Newark-Jersey City; NY-NJ-PA Metropolitan Statist,Prosperity,27,1.58558829
2009-2014,35840,North Port-Sarasota-Bradenton; FL Metropolitan Statistical,Prosperity,92,-3.429563431
2009-2014,36260,Ogden-Clearfield; UT Metropolitan Statistical Area,Prosperity,78,-1.957328581
2009-2014,36420,Oklahoma City; OK Metropolitan Statistical Area,Prosperity,8,3.684969368
2009-2014,36540,Omaha-Council Bluffs; NE-IA Metropolitan Statistical Area,Prosperity,29,1.499631957
2009-2014,36740,Orlando-Kissimmee-Sanford; FL Metropolitan Statistical Are,Prosperity,87,-2.604162411
2009-2014,37100,Oxnard-Thousand Oaks-Ventura; CA Metropolitan Statistical,Prosperity,81,-2.128582318
2009-2014,37340,Palm Bay-Melbourne-Titusville; FL Metropolitan Statistical,Prosperity,99,-4.708145837
2009-2014,37980,Philadelphia-Camden-Wilmington; PA-NJ-DE-MD Metropolitan S,Prosperity,60,-0.599783126
2009-2014,38060,Phoenix-Mesa-Scottsdale; AZ Metropolitan Statistical Area,Prosperity,71,-1.426768307
2009-2014,38300,Pittsburgh; PA Metropolitan Statistical Area,Prosperity,6,3.88398425
2009-2014,38900,Portland-Vancouver-Hillsboro; OR-WA Metropolitan Statistic,Prosperity,13,2.855496874
2009-2014,39300,Providence-Warwick; RI-MA Metropolitan Statistical Area,Prosperity,38,0.540705298
2009-2014,39340,Provo-Orem; UT Metropolitan Statistical Area,Prosperity,49,-0.031334728
2009-2014,39580,Raleigh; NC Metropolitan Statistical Area,Prosperity,59,-0.542909288
2009-2014,40060,Richmond; VA Metropolitan Statistical Area,Prosperity,66,-1.316290038
2009-2014,40140,Riverside-San Bernardino-Ontario; CA Metropolitan Statisti,Prosperity,79,-2.066795267
2009-2014,40380,Rochester; NY Metropolitan Statistical Area,Prosperity,70,-1.417303842
2009-2014,40900,Sacramento--Roseville--Arden-Arcade; CA Metropolitan Stati,Prosperity,80,-2.099374395
2009-2014,41180,St. Louis; MO-IL Metropolitan Statistical Area,Prosperity,42,0.290281717
2009-2014,41620,Salt Lake City; UT Metropolitan Statistical Area,Prosperity,51,-0.055803159
2009-2014,41700,San Antonio-New Braunfels; TX Metropolitan Statistical Are,Prosperity,9,3.567887331
2009-2014,41740,San Diego-Carlsbad; CA Metropolitan Statistical Area,Prosperity,50,-0.047860591
2009-2014,41860,San Francisco-Oakland-Hayward; CA Metropolitan Statistical,Prosperity,11,3.101424112
2009-2014,41940,San Jose-Sunnyvale-Santa Clara; CA Metropolitan Statistica,Prosperity,1,10.93507176
2009-2014,42540,Scranton--Wilkes-Barre--Hazleton; PA Metropolitan Statisti,Prosperity,43,0.284113843
2009-2014,42660,Seattle-Tacoma-Bellevue; WA Metropolitan Statistical Area,Prosperity,12,3.033429321
2009-2014,44060,Spokane-Spokane Valley; WA Metropolitan Statistical Area,Prosperity,55,-0.256968397
2009-2014,44140,Springfield; MA Metropolitan Statistical Area,Prosperity,33,1.169108274
2009-2014,44700,Stockton-Lodi; CA Metropolitan Statistical Area,Prosperity,96,-4.193358335
2009-2014,45060,Syracuse; NY Metropolitan Statistical Area,Prosperity,57,-0.436592356
2009-2014,45300,Tampa-St. Petersburg-Clearwater; FL Metropolitan Statistic,Prosperity,69,-1.414973178
2009-2014,45780,Toledo; OH Metropolitan Statistical Area,Prosperity,24,1.806172802
2009-2014,46060,Tucson; AZ Metropolitan Statistical Area,Prosperity,58,-0.530720789
2009-2014,46140,Tulsa; OK Metropolitan Statistical Area,Prosperity,23,1.853275065
2009-2014,46520,Urban Honolulu; HI Metropolitan Statistical Area,Prosperity,61,-0.999291106
2009-2014,47260,Virginia Beach-Norfolk-Newport News; VA-NC Metropolitan St,Prosperity,90,-3.110744144
2009-2014,47900,Washington-Arlington-Alexandria; DC-VA-MD-WV Metropolitan,Prosperity,91,-3.126652204
2009-2014,48620,Wichita; KS Metropolitan Statistical Area,Prosperity,63,-1.037827294
2009-2014,49180,Winston-Salem; NC Metropolitan Statistical Area,Prosperity,68,-1.394874574
2009-2014,49340,Worcester; MA-CT Metropolitan Statistical Area,Prosperity,35,0.985676521
2009-2014,49660,Youngstown-Warren-Boardman; OH-PA Metropolitan Statistical,Prosperity,31,1.225468106
2013-2014,10420,Akron; OH Metropolitan Statistical Area,Prosperity,15,2.513203977
2013-2014,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,Prosperity,20,2.185128881
2013-2014,10740,Albuquerque; NM Metropolitan Statistical Area,Prosperity,75,-1.577021194
2013-2014,10900,Allentown-Bethlehem-Easton; PA-NJ Metropolitan Statistical,Prosperity,7,3.560008934
2013-2014,12060,Atlanta-Sandy Springs-Roswell; GA Metropolitan Statistical,Prosperity,64,-0.750723156
2013-2014,12260,Augusta-Richmond County; GA-SC Metropolitan Statistical Ar,Prosperity,86,-2.793204425
2013-2014,12420,Austin-Round Rock; TX Metropolitan Statistical Area,Prosperity,3,4.847971391
2013-2014,12540,Bakersfield; CA Metropolitan Statistical Area,Prosperity,100,-7.255316877
2013-2014,12580,Baltimore-Columbia-Towson; MD Metropolitan Statistical Are,Prosperity,60,-0.452901501
2013-2014,12940,Baton Rouge; LA Metropolitan Statistical Area,Prosperity,33,1.137716364
2013-2014,13820,Birmingham-Hoover; AL Metropolitan Statistical Area,Prosperity,80,-2.048284961
2013-2014,14260,Boise City; ID Metropolitan Statistical Area,Prosperity,38,0.705308412
2013-2014,14460,Boston-Cambridge-Newton; MA-NH Metropolitan Statistical Ar,Prosperity,13,2.758512798
2013-2014,14860,Bridgeport-Stamford-Norwalk; CT Metropolitan Statistical A,Prosperity,57,-0.247852296
2013-2014,15380,Buffalo-Cheektowaga-Niagara Falls; NY Metropolitan Statist,Prosperity,11,2.99057799
2013-2014,15980,Cape Coral-Fort Myers; FL Metropolitan Statistical Area,Prosperity,85,-2.618470366
2013-2014,16700,Charleston-North Charleston; SC Metropolitan Statistical A,Prosperity,88,-2.842197024
2013-2014,16740,Charlotte-Concord-Gastonia; NC-SC Metropolitan Statistical,Prosperity,59,-0.358619837
2013-2014,16860,Chattanooga; TN-GA Metropolitan Statistical Area,Prosperity,72,-1.204265258
2013-2014,16980,Chicago-Naperville-Elgin; IL-IN-WI Metropolitan Statistica,Prosperity,28,1.477128369
2013-2014,17140,Cincinnati; OH-KY-IN Metropolitan Statistical Area,Prosperity,32,1.184198645
2013-2014,17460,Cleveland-Elyria; OH Metropolitan Statistical Area,Prosperity,43,0.330063222
2013-2014,17820,Colorado Springs; CO Metropolitan Statistical Area,Prosperity,65,-0.773968607
2013-2014,17900,Columbia; SC Metropolitan Statistical Area,Prosperity,52,0.00220871
2013-2014,18140,Columbus; OH Metropolitan Statistical Area,Prosperity,34,1.130979339
2013-2014,19100,Dallas-Fort Worth-Arlington; TX Metropolitan Statistical A,Prosperity,6,3.914358832
2013-2014,19380,Dayton; OH Metropolitan Statistical Area,Prosperity,54,-0.057093249
2013-2014,19660,Deltona-Daytona Beach-Ormond Beach; FL Metropolitan Statis,Prosperity,70,-0.955744717
2013-2014,19740,Denver-Aurora-Lakewood; CO Metropolitan Statistical Area,Prosperity,5,3.972369846
2013-2014,19780,Des Moines-West Des Moines; IA Metropolitan Statistical Ar,Prosperity,66,-0.815124829
2013-2014,19820,Detroit-Warren-Dearborn; MI Metropolitan Statistical Area,Prosperity,25,1.656961236
2013-2014,21340,El Paso; TX Metropolitan Statistical Area,Prosperity,24,1.694097066
2013-2014,23420,Fresno; CA Metropolitan Statistical Area,Prosperity,93,-3.613912715
2013-2014,24340,Grand Rapids-Wyoming; MI Metropolitan Statistical Area,Prosperity,22,1.820041689
2013-2014,24660,Greensboro-High Point; NC Metropolitan Statistical Area,Prosperity,91,-3.367498664
2013-2014,24860,Greenville-Anderson-Mauldin; SC Metropolitan Statistical A,Prosperity,47,0.176632316
2013-2014,25420,Harrisburg-Carlisle; PA Metropolitan Statistical Area,Prosperity,21,1.966709622
2013-2014,25540,Hartford-West Hartford-East Hartford; CT Metropolitan Stat,Prosperity,56,-0.134641803
2013-2014,26420,Houston-The Woodlands-Sugar Land; TX Metropolitan Statisti,Prosperity,2,4.997264795
2013-2014,26900,Indianapolis-Carmel-Anderson; IN Metropolitan Statistical,Prosperity,94,-3.6427244
2013-2014,27140,Jackson; MS Metropolitan Statistical Area,Prosperity,92,-3.537181859
2013-2014,27260,Jacksonville; FL Metropolitan Statistical Area,Prosperity,71,-1.025779044
2013-2014,28140,Kansas City; MO-KS Metropolitan Statistical Area,Prosperity,46,0.189586827
2013-2014,28940,Knoxville; TN Metropolitan Statistical Area,Prosperity,83,-2.240916257
2013-2014,29460,Lakeland-Winter Haven; FL Metropolitan Statistical Area,Prosperity,99,-5.327326796
2013-2014,29820,Las Vegas-Henderson-Paradise; NV Metropolitan Statistical,Prosperity,97,-4.068925496
2013-2014,30780,Little Rock-North Little Rock-Conway; AR Metropolitan Stat,Prosperity,96,-4.060100279
2013-2014,31080,Los Angeles-Long Beach-Anaheim; CA Metropolitan Statistica,Prosperity,55,-0.109498418
2013-2014,31140,Louisville/Jefferson County; KY-IN Metropolitan Statistica,Prosperity,39,0.623951085
2013-2014,31540,Madison; WI Metropolitan Statistical Area,Prosperity,69,-0.905432908
2013-2014,32580,McAllen-Edinburg-Mission; TX Metropolitan Statistical Area,Prosperity,10,3.041957775
2013-2014,32820,Memphis; TN-MS-AR Metropolitan Statistical Area,Prosperity,89,-2.845690009
2013-2014,33100,Miami-Fort Lauderdale-West Palm Beach; FL Metropolitan Sta,Prosperity,37,0.860123271
2013-2014,33340,Milwaukee-Waukesha-West Allis; WI Metropolitan Statistical,Prosperity,73,-1.378099736
2013-2014,33460,Minneapolis-St. Paul-Bloomington; MN-WI Metropolitan Stati,Prosperity,48,0.092050466
2013-2014,34980,Nashville-Davidson--Murfreesboro--Franklin; TN Metropolita,Prosperity,45,0.196579106
2013-2014,35300,New Haven-Milford; CT Metropolitan Statistical Area,Prosperity,90,-2.933848289
2013-2014,35380,New Orleans-Metairie; LA Metropolitan Statistical Area,Prosperity,82,-2.187449412
2013-2014,35620,New York-Newark-Jersey City; NY-NJ-PA Metropolitan Statist,Prosperity,17,2.377807348
2013-2014,35840,North Port-Sarasota-Bradenton; FL Metropolitan Statistical,Prosperity,77,-1.93317162
2013-2014,36260,Ogden-Clearfield; UT Metropolitan Statistical Area,Prosperity,41,0.477255183
2013-2014,36420,Oklahoma City; OK Metropolitan Statistical Area,Prosperity,35,1.100186177
2013-2014,36540,Omaha-Council Bluffs; NE-IA Metropolitan Statistical Area,Prosperity,42,0.333320497
2013-2014,36740,Orlando-Kissimmee-Sanford; FL Metropolitan Statistical Are,Prosperity,50,0.053777653
2013-2014,37100,Oxnard-Thousand Oaks-Ventura; CA Metropolitan Statistical,Prosperity,76,-1.874936418
2013-2014,37340,Palm Bay-Melbourne-Titusville; FL Metropolitan Statistical,Prosperity,95,-3.904362613
2013-2014,37980,Philadelphia-Camden-Wilmington; PA-NJ-DE-MD Metropolitan S,Prosperity,53,0.001753523
2013-2014,38060,Phoenix-Mesa-Scottsdale; AZ Metropolitan Statistical Area,Prosperity,78,-1.949285513
2013-2014,38300,Pittsburgh; PA Metropolitan Statistical Area,Prosperity,12,2.779387473
2013-2014,38900,Portland-Vancouver-Hillsboro; OR-WA Metropolitan Statistic,Prosperity,9,3.217750174
2013-2014,39300,Providence-Warwick; RI-MA Metropolitan Statistical Area,Prosperity,26,1.554867628
2013-2014,39340,Provo-Orem; UT Metropolitan Statistical Area,Prosperity,58,-0.261359644
2013-2014,39580,Raleigh; NC Metropolitan Statistical Area,Prosperity,68,-0.867925143
2013-2014,40060,Richmond; VA Metropolitan Statistical Area,Prosperity,74,-1.465686482
